CustomerID,Segment,Churn_Probability,Monetary,Frequency,TotalRevenue
17258,Hibernating,0.99172616,417.3,2,417.3
15519,Hibernating,0.9917247,344.61,2,344.61
13660,Hibernating,0.99172217,306.64,1,306.64
13024,Hibernating,0.99170434,555.87,2,555.87
18047,Hibernating,0.991597,326.09,2,326.09
16538,Hibernating,0.99158925,395.07,3,395.07
13442,Hibernating,0.99158305,419.87,3,419.87
17507,Hibernating,0.99153894,605.58,2,605.58
16021,Hibernating,0.9914204,487.03,2,487.03
18280,Hibernating,0.99133635,488.15,2,488.15000000000003
13605,Hibernating,0.99129665,522.67,2,522.67
16935,Hibernating,0.9912772,530.86,3,530.86
16193,Hibernating,0.9912382,630.4300000000001,2,630.4300000000001
15702,Hibernating,0.99121886,140.39,2,140.39
14182,Hibernating,0.9911951,678.77,4,678.77
13545,Hibernating,0.99116385,364.93,2,364.93
14563,Hibernating,0.99112356,640.54,2,640.54
13885,Hibernating,0.99112344,506.8,2,506.8
17217,Hibernating,0.9909785,210.1,2,210.1
17563,Hibernating,0.99095374,392.38,2,392.38
16259,Hibernating,0.99091196,340.94,3,340.94
14611,Hibernating,0.99086636,604.33,2,604.33
16373,Hibernating,0.9908109,309.49,2,309.49
15363,Hibernating,0.9908029,678.11,2,678.11
14602,Hibernating,0.99075574,205.36,1,205.35999999999999
13859,Hibernating,0.99074847,515.86,2,515.86
17276,Hibernating,0.99069196,502.49,1,502.49
14996,Hibernating,0.990681,442.29,2,442.28999999999996
17616,Hibernating,0.9906589,734.4,4,734.4
13713,Hibernating,0.9906533,740.76,3,740.76
17393,Hibernating,0.9906467,381.15,2,381.15000000000003
13698,Hibernating,0.9906432,451.73,2,451.73
13945,Hibernating,0.990617,854.1500000000001,2,854.1500000000001
18128,Hibernating,0.9905572,399.29,1,399.29
14779,Hibernating,0.99053204,386.15,3,386.15
14302,Hibernating,0.9905211,742.9000000000001,3,742.9000000000001
13724,Hibernating,0.9905007,213.01,1,213.01
13703,Hibernating,0.990473,425.56,2,425.56
16111,Hibernating,0.99035466,549.33,1,549.33
17196,Hibernating,0.99032587,327.75,1,327.75
16662,Hibernating,0.990299,151.05,1,151.05
14455,Hibernating,0.9902778,617.72,4,617.72
15894,Hibernating,0.99023026,258.25,2,258.25
15196,Hibernating,0.990207,313.7,2,313.7
14807,Hibernating,0.99016553,504.14,2,504.14
17544,Hibernating,0.99013036,944.82,3,944.82
18183,Hibernating,0.9901258,632.07,2,632.07
14010,Hibernating,0.99011725,445.15,2,445.15
13161,Hibernating,0.9901135,472.13,2,472.13
13872,Hibernating,0.9901087,919.57,3,919.57
15650,Hibernating,0.99008465,553.88,2,553.88
16897,Hibernating,0.99000645,289.78,2,289.78
14142,Hibernating,0.98997575,671.34,2,671.34
12869,Hibernating,0.9899564,337.67,1,337.66999999999996
15294,Hibernating,0.98990154,233.35,1,233.35
13465,Hibernating,0.9898566,931.12,2,931.12
15554,Hibernating,0.98984784,217.2,1,217.2
16484,Hibernating,0.9897782,404.3,2,404.3
18048,Hibernating,0.9897781,394.93,3,394.93
16392,Hibernating,0.98977727,756.7,3,756.7
16888,Hibernating,0.98977405,434.2,3,434.2
12958,Hibernating,0.9897328,467.34,2,467.34
15528,Hibernating,0.9897288,229.33,1,229.33
13825,Hibernating,0.9897176,255.59,2,255.59
12542,Hibernating,0.989609,481.88,2,481.88
13123,Hibernating,0.98958045,506.75,2,506.75
17765,Hibernating,0.9895723,524.0,4,524.0
17265,Hibernating,0.9895091,550.01,2,550.01
15723,Hibernating,0.9895023,930.7,4,930.7
18083,Hibernating,0.98948073,463.53,1,463.53
14183,Hibernating,0.98948,278.34000000000003,2,278.34000000000003
14271,Hibernating,0.9894723,214.18,2,214.18
13708,Hibernating,0.9894637,285.33,1,285.33
15177,Hibernating,0.9894632,948.93,1,948.9300000000001
16937,Hibernating,0.9894265,196.25,1,196.25
13921,Hibernating,0.989377,730.7,4,730.7
18021,Hibernating,0.9893259,216.41,2,216.41
17207,Hibernating,0.9893238,292.62,1,292.62
12825,Hibernating,0.98931015,518.63,2,518.63
14094,Hibernating,0.9892448,311.77,1,311.77
15438,Hibernating,0.9891411,156.57999999999998,1,156.57999999999998
15169,Hibernating,0.9891215,569.22,2,569.22
14296,Hibernating,0.9891123,456.4,2,456.4
12974,Hibernating,0.98908013,408.95,2,408.95
16608,Hibernating,0.989037,1286.62,2,1286.6200000000001
16465,Hibernating,0.98902994,746.24,2,746.24
17143,Hibernating,0.98897785,880.97,2,880.97
16721,Hibernating,0.98896873,292.47,1,292.47
17300,Hibernating,0.98896223,393.64,2,393.64
16590,Hibernating,0.98895276,605.9,2,605.9
17570,Hibernating,0.98894113,100.0,1,100.0
16911,Hibernating,0.98889893,255.25,2,255.25
14247,Hibernating,0.9888782,753.56,5,753.56
13957,Hibernating,0.98878455,458.25,3,458.25
12880,Hibernating,0.98869586,640.13,2,640.13
15878,Hibernating,0.9886432,330.77,2,330.77
13444,Hibernating,0.98862374,619.08,2,619.08
17285,Hibernating,0.9886165,407.94,2,407.94
17057,Hibernating,0.98860675,294.74,1,294.74
15084,Hibernating,0.98858005,965.2,2,965.1999999999999
13187,Hibernating,0.9885599,341.36,4,341.36
13706,Hibernating,0.98855907,631.1700000000001,2,631.1700000000001
17437,Hibernating,0.9885203,369.68,1,369.68
16421,Hibernating,0.9885181,526.27,3,526.27
12834,Hibernating,0.9884865,312.38,1,312.38
14069,Hibernating,0.9884066,225.81,2,225.81
15653,Hibernating,0.9883292,877.44,2,877.44
14982,Hibernating,0.9883208,237.78,1,237.78
16250,Hibernating,0.9883129,565.24,3,565.24
12570,Hibernating,0.9882824,77.52,1,77.52
17745,Hibernating,0.98821986,600.34,2,600.34
13684,Hibernating,0.98818564,594.88,4,594.88
16487,Hibernating,0.9881506,209.4,2,209.4
13731,Hibernating,0.9881445,610.59,2,610.59
12797,Hibernating,0.98812544,552.08,2,552.08
15397,Hibernating,0.9881241,94.0,1,94.0
13540,Hibernating,0.98812276,632.39,3,632.39
12810,Hibernating,0.9881121,534.99,2,534.99
16927,Hibernating,0.988101,543.05,3,543.05
13737,Hibernating,0.9880711,339.6,1,339.6
14100,Hibernating,0.9880477,191.95,1,191.95
14365,Hibernating,0.9879023,634.68,2,634.68
16264,Hibernating,0.9878693,823.53,2,823.53
17890,Hibernating,0.9877707,586.89,2,586.89
15137,Hibernating,0.98776454,823.4,2,823.4
14323,Hibernating,0.9877164,605.0600000000001,2,605.0600000000001
15174,Hibernating,0.98770416,481.46,2,481.46
16381,Hibernating,0.9876793,247.85,2,247.85
14979,Hibernating,0.9876551,429.66,1,429.66
17223,Hibernating,0.9876332,558.04,3,558.04
12505,Hibernating,0.98761976,955.2,1,955.2
15037,Hibernating,0.9875513,397.76,2,397.76
13574,Hibernating,0.98752594,404.45,1,404.45
12746,Hibernating,0.9875252,254.55,1,254.55
16695,Hibernating,0.9875043,191.9,2,191.9
17918,Hibernating,0.9874275,396.39,3,396.39
14169,Hibernating,0.9874166,621.51,2,621.51
14024,Hibernating,0.98736715,645.74,3,645.74
13619,Hibernating,0.9873126,224.94,2,224.94
17688,Hibernating,0.987303,304.2,1,304.2
15956,Hibernating,0.9873011,617.6,2,617.6
15711,Hibernating,0.9873009,420.25,2,420.25
15968,Hibernating,0.9872707,404.55,1,404.55
14519,Hibernating,0.98724747,203.14,2,203.14
16536,Hibernating,0.98720646,548.12,1,548.12
14228,Hibernating,0.98716104,745.5,3,745.5
15080,Hibernating,0.98715705,546.25,2,546.25
14166,Hibernating,0.9871497,251.15,2,251.15
15560,Hibernating,0.9870925,153.52,2,153.52
15961,Hibernating,0.9870732,451.29,1,451.28999999999996
16787,Hibernating,0.98705286,1017.53,4,1017.53
17482,Hibernating,0.98702973,775.64,2,775.64
16534,Hibernating,0.98699737,635.9,1,635.9
17592,Hibernating,0.98696715,148.3,1,148.3
15881,Hibernating,0.98696274,501.39,5,501.39
16576,Hibernating,0.9869314,540.87,2,540.87
14170,Hibernating,0.9869018,570.18,3,570.18
16740,Hibernating,0.98685324,226.91,1,226.91
12837,Hibernating,0.9868238,662.66,2,662.66
14190,Hibernating,0.9867986,79.9,1,79.9
16165,Hibernating,0.9867986,79.9,1,79.9
12470,Hibernating,0.98676074,211.95,1,211.95
16792,Hibernating,0.98673743,623.46,5,623.46
13057,Hibernating,0.9867259,709.59,3,709.59
15824,Hibernating,0.9867144,890.94,2,890.94
15092,Hibernating,0.986699,776.46,3,776.46
17910,Hibernating,0.98668957,261.7,1,261.7
16832,Hibernating,0.9866692,417.61,5,417.61
17413,Hibernating,0.9866088,560.14,2,560.14
17335,Hibernating,0.9865596,497.04,2,497.04
16939,Hibernating,0.9864509,433.85,3,433.84999999999997
14324,Hibernating,0.9864265,701.61,2,701.61
14983,Hibernating,0.98635095,183.2,1,183.20000000000002
16844,Hibernating,0.9863061,614.34,2,614.34
13559,Hibernating,0.9862422,990.0,2,990.0
15709,Hibernating,0.9862044,327.85,2,327.85
13244,Hibernating,0.9861529,121.74,1,121.74000000000001
15715,Hibernating,0.98612565,658.02,5,658.02
15143,Hibernating,0.98610526,563.63,2,563.63
17182,Hibernating,0.9861013,321.3,2,321.3
16089,Hibernating,0.9860379,263.49,2,263.49
16436,Hibernating,0.98599386,319.14,3,319.14
17547,Hibernating,0.9859881,727.85,2,727.85
13738,Hibernating,0.9859445,434.78,1,434.78000000000003
18121,Hibernating,0.985924,653.3000000000001,2,653.3000000000001
14599,Hibernating,0.98591715,457.89,2,457.89
13768,Hibernating,0.98581845,875.97,2,875.97
15041,Hibernating,0.9858051,289.4,2,289.4
13679,Hibernating,0.98580396,281.26,3,281.26
17995,Hibernating,0.9857997,495.48,3,495.48
15729,Hibernating,0.98577523,192.55,3,192.55
13535,Hibernating,0.98569226,89.5,1,89.5
15510,Hibernating,0.9856688,250.0,1,250.0
17110,Hibernating,0.9856414,499.9,3,499.9
17792,Hibernating,0.9856308,368.35,2,368.35
17704,Hibernating,0.9855826,885.19,2,885.19
13073,Hibernating,0.98557717,418.08,2,418.08
13374,Hibernating,0.98557067,422.8,2,422.8
15246,Hibernating,0.98555195,780.4,3,780.4
17248,Hibernating,0.9855363,500.54,2,500.54
14022,Hibernating,0.9855341,792.15,2,792.15
17016,Hibernating,0.98545945,552.4,1,552.4
17184,Hibernating,0.9854565,198.41000000000005,2,198.41000000000003
18114,Hibernating,0.98544943,220.1,1,220.1
17551,Hibernating,0.98538035,290.34,1,290.34
17141,Hibernating,0.98537886,727.58,4,727.58
15816,Hibernating,0.9853593,144.15,2,144.15
13586,Hibernating,0.98535776,127.28,1,127.28
14172,Hibernating,0.98532933,369.02,3,369.02
14007,Hibernating,0.98532176,79.48,1,79.48
15962,Hibernating,0.9853023,289.48,1,289.48
13275,Hibernating,0.9852997,238.86,2,238.86
14724,Hibernating,0.9852871,341.9,1,341.9
16084,Hibernating,0.98525107,436.18,1,436.18
13541,Hibernating,0.9852298,785.25,2,785.25
13508,Hibernating,0.98522794,287.05,2,287.05
14890,Hibernating,0.9852142,817.25,3,817.25
14445,Hibernating,0.9851945,221.65,1,221.65
17808,Hibernating,0.985182,262.64,4,262.64
12979,Hibernating,0.98516184,517.7,1,517.7
14823,Hibernating,0.9851452,321.43,3,321.43
17269,Hibernating,0.9851246,491.81,1,491.81
13714,Hibernating,0.98507166,161.35,1,161.35
17952,Hibernating,0.9850529,788.46,4,788.46
13820,Hibernating,0.9850347,652.75,3,652.75
15873,Hibernating,0.98503345,313.92,4,313.91999999999996
17882,Hibernating,0.9850101,291.56,2,291.56
17194,Hibernating,0.984979,812.5,3,812.5
17134,Hibernating,0.9849739,625.3,3,625.3
15866,Hibernating,0.98496026,211.89,1,211.89
17823,Hibernating,0.98494315,449.25,2,449.25
16704,Hibernating,0.98491675,664.16,2,664.16
13235,Hibernating,0.98488957,1031.07,1,1031.07
15395,Hibernating,0.98486036,107.45,1,107.45
12636,Hibernating,0.98482656,141.0,1,141.0
18074,Hibernating,0.98481816,1019.44,2,1019.44
12363,Hibernating,0.9847703,552.0,2,552.0
14814,Hibernating,0.9847668,154.21,1,154.21
15852,Hibernating,0.98476464,257.26,3,257.26
14380,Hibernating,0.9847499,48.96,1,48.96
15914,Hibernating,0.98473746,205.99,2,205.99
15408,Hibernating,0.98472035,267.18,1,267.18
17801,Hibernating,0.9847156,770.03,3,770.03
14526,Hibernating,0.98467153,258.65,1,258.65
16334,Hibernating,0.98462033,263.73,1,263.73
18271,Hibernating,0.98461217,680.85,2,680.85
17270,Hibernating,0.9846021,601.45,2,601.45
15507,Hibernating,0.9845947,475.86,1,475.86
16977,Hibernating,0.9845781,496.0,4,496.0
14985,Hibernating,0.9845776,292.01,2,292.01
16781,Hibernating,0.9845472,623.0,2,623.0
13922,Hibernating,0.9845435,865.2,3,865.2
14736,Hibernating,0.9845346,374.05,2,374.05
12537,Hibernating,0.98451644,732.94,1,732.94
15710,Hibernating,0.98448807,898.87,1,898.87
17945,Hibernating,0.9844877,360.35,3,360.35
17558,Hibernating,0.9844604,259.17,1,259.17
15191,Hibernating,0.9844583,588.05,3,588.05
13195,Hibernating,0.9844236,136.73,1,136.73
17000,Hibernating,0.98437077,406.3,2,406.3
16148,Hibernating,0.98436916,386.62,2,386.62
12942,Hibernating,0.98432875,675.6,3,675.6
15405,Hibernating,0.98430365,659.84,2,659.84
15742,Hibernating,0.9843016,156.87,1,156.87
14471,Hibernating,0.9842753,400.95,2,400.95
16864,Hibernating,0.9842451,409.25,2,409.25
15617,Hibernating,0.9841889,828.5500000000001,3,828.5500000000001
17332,Hibernating,0.984171,838.27,5,838.27
14879,Hibernating,0.984134,185.06,1,185.06
16675,Hibernating,0.9841325,608.86,2,608.86
18247,Hibernating,0.9841218,839.73,3,839.73
18039,Hibernating,0.9841017,548.22,4,548.22
13250,Hibernating,0.98407066,253.09,2,253.09
15989,Hibernating,0.98406464,368.31,2,368.31
16707,Hibernating,0.9840581,533.41,4,533.41
13108,Hibernating,0.9840487,748.46,2,748.46
13175,Hibernating,0.9840455,831.45,2,831.45
13261,Hibernating,0.9840374,944.1,2,944.1
15643,Hibernating,0.9840134,664.0,3,664.0
15688,Hibernating,0.9840074,190.57,1,190.57
16047,Hibernating,0.98400265,107.14,1,107.14
12992,Hibernating,0.9839266,93.35,1,93.35
18002,Hibernating,0.98388773,244.37,4,244.37
13385,Hibernating,0.9838525,534.57,1,534.57
17261,Hibernating,0.98382497,221.59,1,221.59
15891,Hibernating,0.9838059,511.68,1,511.68
13166,Hibernating,0.98379624,875.93,2,875.93
16228,Hibernating,0.9837546,885.71,3,885.71
15396,Hibernating,0.98371375,796.38,2,796.38
13341,Hibernating,0.9837065,775.85,1,775.85
14552,Hibernating,0.9836917,507.93,3,507.93
13537,Hibernating,0.9836272,717.85,2,717.85
12792,Hibernating,0.983595,827.01,2,827.01
17380,Hibernating,0.98359007,645.0,3,645.0
17374,Hibernating,0.983579,727.11,3,727.11
13729,Hibernating,0.9835084,724.73,3,724.73
15001,Hibernating,0.98347604,199.11,2,199.10999999999999
17067,Hibernating,0.98346484,454.54,3,454.54
17292,Hibernating,0.98346114,271.75,2,271.75
15672,Hibernating,0.9834547,45.3,1,45.300000000000004
12878,Hibernating,0.983453,854.99,2,854.99
13553,Hibernating,0.98345214,499.6,1,499.6
14011,Hibernating,0.9834488,457.82,2,457.82
16541,Hibernating,0.9834457,424.03,1,424.03
16697,Hibernating,0.98344326,112.75,1,112.75
13833,Hibernating,0.983417,700.41,2,700.41
13779,Hibernating,0.98340166,161.13,1,161.13
13262,Hibernating,0.9833965,573.45,3,573.45
14242,Hibernating,0.98335385,280.55,2,280.55
18013,Hibernating,0.9833507,187.29,2,187.29
16006,Hibernating,0.983347,332.82,2,332.82
14620,Hibernating,0.98333585,412.78,2,412.78000000000003
14425,Hibernating,0.98329633,661.39,3,661.39
16028,Hibernating,0.98329574,82.2,1,82.2
16135,Hibernating,0.9832902,819.45,2,819.45
14322,Hibernating,0.98326683,474.1,4,474.1
16696,Hibernating,0.9832532,657.9,4,657.9
14940,Hibernating,0.9832307,531.49,2,531.49
17782,Hibernating,0.9832133,679.02,2,679.02
16449,Hibernating,0.9832055,707.69,2,707.69
13595,Hibernating,0.9831965,784.48,3,784.48
15008,Hibernating,0.9831524,360.0,2,360.0
14237,Hibernating,0.9831391,471.14,2,471.14
13226,Hibernating,0.9831367,312.46,2,312.46
16285,Hibernating,0.9831275,176.9,1,176.9
13480,Hibernating,0.98304236,627.82,2,627.82
12672,Hibernating,0.98304105,437.05,2,437.05
13770,Hibernating,0.98294824,785.37,4,785.37
17781,Hibernating,0.9828628,188.02,2,188.02
15364,Hibernating,0.98283446,913.19,2,913.19
17803,Hibernating,0.9828204,184.66,1,184.66
16890,Hibernating,0.98281693,285.41,3,285.41
16144,Hibernating,0.9828152,175.2,1,175.2
17756,Hibernating,0.9828128,728.75,3,728.75
15307,Hibernating,0.9827724,205.3,1,205.3
15728,Hibernating,0.98276204,544.6,2,544.6
14906,Hibernating,0.9827518,68.44,1,68.44
14086,Hibernating,0.98273724,39.95,1,39.95
13020,Hibernating,0.9827126,618.96,2,618.96
14558,Hibernating,0.98269755,655.5,3,655.5
15802,Hibernating,0.98267186,451.42,1,451.42
17267,Hibernating,0.9826407,317.2,2,317.2
17795,Hibernating,0.9825952,342.83,2,342.83
15477,Hibernating,0.9825807,368.4,1,368.4
15918,Hibernating,0.98257476,582.88,3,582.88
16022,Hibernating,0.9825714,602.63,1,602.63
16604,Hibernating,0.98256254,432.4500000000001,2,432.45000000000005
15354,Hibernating,0.98252964,284.4,3,284.4
17662,Hibernating,0.9825293,412.92,2,412.92
16545,Hibernating,0.98252386,689.8199999999999,2,689.8199999999999
16998,Hibernating,0.98250383,402.0,5,402.0
15011,Hibernating,0.9824938,416.6,2,416.6
16540,Hibernating,0.982487,205.75,1,205.75
17654,Hibernating,0.9824818,117.55,1,117.55
17023,Hibernating,0.9824753,800.1800000000001,3,800.1800000000001
16146,Hibernating,0.98247313,946.38,4,946.38
16567,Hibernating,0.98241526,865.6,2,865.6
17881,Hibernating,0.982392,133.35,1,133.35
12730,Hibernating,0.9823889,829.25,1,829.25
15733,Hibernating,0.9823737,162.3,1,162.3
12751,Hibernating,0.9823614,268.27,1,268.27
16868,Hibernating,0.9823523,384.56,3,384.56
14922,Hibernating,0.9823465,843.74,2,843.74
15880,Hibernating,0.9823209,329.03,1,329.03
14746,Hibernating,0.98226607,593.5,4,593.5
14131,Hibernating,0.9822318,168.22,1,168.22
12404,Hibernating,0.98219484,63.24,1,63.24
12466,Hibernating,0.98219484,56.73,1,56.73
13852,Hibernating,0.98219186,187.35,1,187.35000000000002
13955,Hibernating,0.9821702,544.0699999999999,3,544.0699999999999
17055,Hibernating,0.9821697,232.85,1,232.85000000000002
15778,Hibernating,0.9821129,307.95000000000005,1,307.95000000000005
13550,Hibernating,0.9820972,342.55,1,342.55
17392,Hibernating,0.9820826,585.92,3,585.92
16355,Hibernating,0.9820363,416.35,1,416.35
13597,Hibernating,0.9819426,396.71,2,396.71
17780,Hibernating,0.98193663,346.56,3,346.56
16002,Hibernating,0.981908,169.21,1,169.21
16486,Hibernating,0.98190445,134.36,1,134.36
18108,Hibernating,0.98186827,848.8100000000001,3,848.8100000000001
13791,Hibernating,0.98185617,1516.0,2,1516.0
15542,Hibernating,0.98182696,855.71,3,855.71
14048,Hibernating,0.9818217,748.69,3,748.69
12929,Hibernating,0.9818125,117.85,1,117.85
16291,Hibernating,0.9818033,117.72,1,117.72
18090,Hibernating,0.98176193,321.9,1,321.9
14773,Hibernating,0.98175114,140.55,1,140.55
15016,Hibernating,0.98173714,620.89,5,620.89
15936,Hibernating,0.98169005,282.79,2,282.79
13891,Hibernating,0.9816757,859.21,3,859.21
14663,Hibernating,0.98165214,490.6,2,490.6
17391,Hibernating,0.98156494,508.8,2,508.8
13022,Hibernating,0.9815214,65.3,1,65.3
16827,Hibernating,0.98150647,392.13,5,392.13
14373,Hibernating,0.9814979,76.55,1,76.55
12801,Hibernating,0.98145413,1071.82,1,1071.82
14026,Hibernating,0.981448,713.11,2,713.11
12555,Hibernating,0.9814385,129.23,1,129.23
14260,Hibernating,0.9814115,824.28,3,824.28
16552,Hibernating,0.98140955,379.73,2,379.73
17524,Hibernating,0.9814078,539.14,3,539.14
18054,Hibernating,0.98131734,176.5,1,176.5
18244,Hibernating,0.9813085,568.64,2,568.64
14571,Hibernating,0.9812739,160.0,1,160.0
17638,Hibernating,0.98124605,842.4000000000001,2,842.4000000000001
16132,Hibernating,0.9812367,664.1999999999999,2,664.1999999999999
18011,Hibernating,0.9812081,410.79,2,410.79
18119,Hibernating,0.9811978,180.7,1,180.7
14633,Hibernating,0.9811819,344.90000000000003,1,344.90000000000003
13608,Hibernating,0.98117036,232.05,1,232.05
13987,Hibernating,0.981156,682.54,2,682.54
15295,Hibernating,0.9811538,207.04,1,207.04
13204,Hibernating,0.9811498,966.66,1,966.6600000000001
12614,Hibernating,0.98111045,315.6,1,315.6
17753,Hibernating,0.9811069,382.06,4,382.06
15180,Hibernating,0.9811034,816.9300000000001,3,816.9300000000001
13837,Hibernating,0.9810929,266.59000000000003,2,266.59000000000003
16568,Hibernating,0.9810533,1020.9,2,1020.9
17112,Hibernating,0.9810332,197.57,1,197.57
17331,Hibernating,0.98102933,175.2,1,175.2
13439,Hibernating,0.9809698,986.61,3,986.61
12988,Hibernating,0.9809487,505.82,1,505.82
16521,Hibernating,0.9809332,1140.11,3,1140.11
12800,Hibernating,0.9809263,584.25,3,584.25
17833,Hibernating,0.98091954,338.46000000000004,1,338.46000000000004
17630,Hibernating,0.9808945,503.6,2,503.6
16077,Hibernating,0.9808848,2300.4,1,2300.4
16739,Hibernating,0.98087734,786.4300000000001,2,786.4300000000001
13682,Hibernating,0.98078924,59.5,1,59.5
13567,Hibernating,0.9807746,1079.29,4,1079.29
16427,Hibernating,0.9807593,241.06,2,241.06
15666,Hibernating,0.9807113,632.94,2,632.94
12554,Hibernating,0.9807084,468.5,1,468.5
17599,Hibernating,0.9806968,52.05,1,52.05
13391,Hibernating,0.98069465,59.8,1,59.8
14873,Hibernating,0.98068434,854.13,2,854.13
13642,Hibernating,0.9806677,472.2,4,472.2
13287,Hibernating,0.9806527,781.59,3,781.59
16452,Hibernating,0.9806295,332.17,2,332.17
15020,Hibernating,0.98058057,198.47,1,198.47
15052,Hibernating,0.9805617,207.73,1,207.73000000000002
12386,Hibernating,0.9805563,401.9,2,401.9
16428,Hibernating,0.9805509,638.49,3,638.49
14803,Hibernating,0.9805053,845.5500000000001,3,845.5500000000001
13547,Hibernating,0.98041004,167.08,1,167.08
13386,Hibernating,0.9804083,835.46,2,835.46
12634,Hibernating,0.9804072,490.0,2,490.0
18264,Hibernating,0.98039687,603.25,1,603.25
13604,Hibernating,0.9803939,717.62,1,717.62
15176,Hibernating,0.98039126,988.04,1,988.0400000000001
17177,Hibernating,0.9803909,119.5,1,119.5
16957,Hibernating,0.9803508,416.64,2,416.64
18078,Hibernating,0.98034453,725.53,4,725.53
14980,Hibernating,0.9803208,150.68,1,150.68
16114,Hibernating,0.98022985,135.75000000000003,1,135.75000000000003
14600,Hibernating,0.98021907,865.17,2,865.17
12961,Hibernating,0.9801862,211.99,1,211.99
16315,Hibernating,0.98014563,402.71,2,402.71
12999,Hibernating,0.98014563,455.88,3,455.88
16431,Hibernating,0.9801308,623.28,3,623.28
13076,Hibernating,0.98011935,135.4,1,135.4
15924,Hibernating,0.98011106,102.82,1,102.82
15019,Hibernating,0.98008037,252.81,1,252.81
14839,Hibernating,0.9800673,915.28,3,915.28
16644,Hibernating,0.98002875,833.78,2,833.78
12956,Hibernating,0.97995716,521.89,4,521.89
15334,Hibernating,0.9799477,350.82,3,350.82
17312,Hibernating,0.97994405,644.3,3,644.3
15780,Hibernating,0.9798962,475.28,3,475.28000000000003
17826,Hibernating,0.9798594,133.34,1,133.34
15897,Hibernating,0.9798376,208.59,2,208.59
14036,Hibernating,0.9798192,626.65,1,626.65
14742,Hibernating,0.9798146,579.85,1,579.85
12964,Hibernating,0.9797956,132.24,1,132.24
13185,Hibernating,0.97977465,71.4,1,71.4
13795,Hibernating,0.97975504,836.3,4,836.3
17056,Hibernating,0.97975326,128.60000000000002,1,128.60000000000002
14476,Hibernating,0.97973835,193.0,1,193.0
17776,Hibernating,0.97973514,330.56,2,330.56
16274,Hibernating,0.9797237,351.75,1,351.75
13612,Hibernating,0.97969776,818.29,1,818.29
17715,Hibernating,0.97967553,489.6,2,489.59999999999997
13572,Hibernating,0.97962004,1384.25,1,1384.25
14826,Hibernating,0.979598,385.2,2,385.2
16408,Hibernating,0.97953117,231.93,1,231.93
17366,Hibernating,0.9795202,1077.24,2,1077.24
13398,Hibernating,0.97950244,670.34,2,670.34
17678,Hibernating,0.9794503,599.76,2,599.76
17161,Hibernating,0.97944653,856.01,1,856.01
12655,Hibernating,0.9794343,261.35,1,261.35
16683,Hibernating,0.9794168,320.25,1,320.25
