CustomerID,Segment,Churn_Probability,Risk_Category,Monetary,Frequency
12511,Hibernating,0.96540594,High Risk,3084.02,1
12512,Hibernating,0.71945876,High Risk,132.18,2
12513,Hibernating,0.9173416,High Risk,612.29,1
12514,Hibernating,0.7119638,High Risk,1597.76,2
12515,Hibernating,0.9296917,High Risk,383.7,1
12516,Hibernating,0.23183236,Low Risk,2648.62,4
12517,New Customers,0.010862939,Low Risk,2481.6,5
12518,New Customers,0.005155283,Low Risk,2056.89,5
12519,New Customers,0.05508446,Low Risk,716.54,2
12520,Hibernating,0.47317952,Medium Risk,2634.26,5
12521,Hibernating,0.9662484,High Risk,599.68,1
12522,New Customers,0.011017477,Low Risk,192.72,2
12523,Champions,0.0012143857,Low Risk,4352.35,23
12524,Champions,0.0015463033,Low Risk,11126.11,17
12525,Hibernating,0.84525853,High Risk,973.73,3
12526,New Customers,0.0021384372,Low Risk,1316.66,3
12527,Hibernating,0.9186178,High Risk,735.51,5
12528,New Customers,0.0046955054,Low Risk,1933.48,6
12529,Hibernating,0.9235711,High Risk,316.48,1
12530,Champions,0.012168268,Low Risk,3759.26,9
12531,New Customers,0.005814706,Low Risk,1933.2,2
12532,New Customers,0.0013682884,Low Risk,349.83000000000004,1
12533,Hibernating,0.9330766,High Risk,1367.89,2
12534,Hibernating,0.9616611,High Risk,1089.18,1
12535,New Customers,0.44749296,Medium Risk,716.35,2
12536,Hibernating,0.24077575,Low Risk,12601.830000000002,3
12537,Hibernating,0.98451644,High Risk,732.94,1
12538,New Customers,0.009349873,Low Risk,640.45,2
12539,Champions,0.0040237107,Low Risk,11214.75,7
12540,Champions,0.0038069997,Low Risk,22254.49,33
12541,New Customers,0.004887729,Low Risk,981.18,3
12542,Hibernating,0.989609,High Risk,481.88,2
12543,Hibernating,0.9779961,High Risk,980.25,1
12544,New Customers,0.0047824476,Low Risk,372.7,1
12545,New Customers,0.012240151,Low Risk,1000.39,2
12546,New Customers,0.008289929,Low Risk,1161.5,2
12547,Hibernating,0.9629915,High Risk,383.58,3
12548,Hibernating,0.93330634,High Risk,95.2,1
12549,Hibernating,0.95434374,High Risk,1575.68,6
12550,New Customers,0.0053378,Low Risk,964.83,1
12551,Hibernating,0.89421284,High Risk,168.0,1
12552,New Customers,0.043692805,Low Risk,437.82,2
12553,Champions,0.024160556,Low Risk,4608.75,12
12554,Hibernating,0.9807084,High Risk,468.5,1
12555,Hibernating,0.9814385,High Risk,129.23,1
12556,New Customers,0.024505021,Low Risk,599.56,2
12557,Champions,0.0036940407,Low Risk,18096.14,8
12558,New Customers,0.0052008596,Low Risk,269.96,1
12559,Hibernating,0.9506445,High Risk,561.71,2
12560,New Customers,0.0025879915,Low Risk,2134.01,3
12561,Hibernating,0.9640938,High Risk,238.85,1
12562,Champions,0.012939753,Low Risk,4966.92,9
12563,Hibernating,0.92310023,High Risk,249.24,1
12564,Hibernating,0.93459815,High Risk,456.9,1
12565,Hibernating,0.92181814,High Risk,145.92000000000002,1
12566,Hibernating,0.43798453,Medium Risk,351.65,1
12567,Champions,0.006948101,Low Risk,11767.48,15
12568,Hibernating,0.89851296,High Risk,70.0,1
12569,Champions,0.070623584,Low Risk,4124.6900000000005,32
12570,Hibernating,0.9882824,High Risk,77.52,1
12571,New Customers,0.017286384,Low Risk,519.61,2
12572,New Customers,0.011509376,Low Risk,1020.42,2
12573,Hibernating,0.9699118,High Risk,717.41,5
12574,Hibernating,0.9341454,High Risk,218.45,1
12575,Hibernating,0.97131604,High Risk,622.82,2
12576,Champions,0.0052670143,Low Risk,2142.7200000000003,8
12577,Hibernating,0.0065137763,Low Risk,1617.1,8
12578,New Customers,0.007029713,Low Risk,4642.45,4
12579,Hibernating,0.77204037,High Risk,440.42,1
12580,Hibernating,0.931366,High Risk,1052.9,2
12581,New Customers,0.011446033,Low Risk,197.71,1
12582,Hibernating,0.82519186,High Risk,1980.4,4
12583,Champions,0.0013903606,Low Risk,13591.58,27
12584,Champions,0.025093958,Low Risk,2338.15,9
12585,Hibernating,0.9198028,High Risk,2040.1,2
12586,New Customers,0.0018080188,Low Risk,2062.67,4
12587,New Customers,0.030800115,Low Risk,144.0,1
12588,New Customers,0.02249177,Low Risk,958.78,4
12589,Champions,0.004528868,Low Risk,4695.66,8
12590,Hibernating,0.9389079,High Risk,9864.26,2
12591,Hibernating,0.93133974,High Risk,1338.95,3
12592,Hibernating,0.88613975,High Risk,2582.66,5
12593,Hibernating,0.96145177,High Risk,418.1,3
12594,Champions,0.012108614,Low Risk,5090.110000000001,15
12595,Hibernating,0.9559496,High Risk,299.02,1
12596,New Customers,0.015338052,Low Risk,618.27,2
12597,New Customers,0.0036692703,Low Risk,3811.22,4
12598,Champions,0.008950643,Low Risk,4534.09,11
12599,Champions,0.008218247,Low Risk,2296.72,13
12600,Champions,0.0029528572,Low Risk,4967.42,21
12601,Hibernating,0.9630746,High Risk,681.26,6
12602,Hibernating,0.7667215,High Risk,153.12,1
12603,New Customers,0.08126059,Low Risk,739.1999999999999,1
12604,Hibernating,0.5670616,Medium Risk,254.18,2
12605,Hibernating,0.87920076,High Risk,1232.95,4
12606,Hibernating,0.9662896,High Risk,21.0,1
12607,New Customers,0.0042748926,Low Risk,1579.51,1
12608,Hibernating,0.9649989,High Risk,415.79,1
12609,Hibernating,0.07785611,Low Risk,3435.86,9
12610,New Customers,0.0073472904,Low Risk,2099.54,5
12611,New Customers,0.0031628432,Low Risk,1193.32,1
12612,New Customers,0.006460566,Low Risk,704.04,1
12613,Champions,0.001217037,Low Risk,6817.37,10
12614,Hibernating,0.98111045,High Risk,315.6,1
12615,Champions,0.012711668,Low Risk,5740.9800000000005,8
12616,Hibernating,0.79058754,High Risk,1131.1,3
12617,New Customers,0.018969862,Low Risk,352.98,1
12618,New Customers,0.019334137,Low Risk,177.31,1
12619,Champions,0.055409998,Low Risk,3781.38,10
12620,New Customers,0.005212529,Low Risk,1339.41,3
12621,Champions,0.0015725986,Low Risk,24311.2,35
12622,Hibernating,0.96179736,High Risk,180.1,1
12623,Hibernating,0.8037698,High Risk,3747.84,7
12624,Hibernating,0.9411846,High Risk,641.13,2
12625,Hibernating,0.7748757,High Risk,5164.88,4
12626,Champions,0.035106465,Low Risk,6620.4800000000005,9
12627,Champions,0.0028190303,Low Risk,4478.53,7
12628,New Customers,0.004745006,Low Risk,786.46,3
12629,Hibernating,0.9618979,High Risk,1558.22,2
12630,New Customers,0.028309679,Low Risk,1270.88,2
12631,Hibernating,0.045415964,Low Risk,3481.57,6
12632,Hibernating,0.9572725,High Risk,804.88,2
12633,Champions,0.03464613,Low Risk,5678.16,7
12634,Hibernating,0.9804072,High Risk,490.0,2
12635,Hibernating,0.20948318,Low Risk,2930.41,4
12636,Hibernating,0.98482656,High Risk,141.0,1
12637,Champions,0.13793974,Low Risk,8283.81,12
12638,New Customers,0.008915335,Low Risk,921.49,2
12639,Hibernating,0.9343073,High Risk,1312.37,3
12640,New Customers,0.005768541,Low Risk,1174.58,3
12641,Hibernating,0.89704216,High Risk,185.9,1
12642,New Customers,0.0032901198,Low Risk,1013.26,3
12643,Champions,0.7473889,High Risk,8304.82,12
12644,Hibernating,0.1883123,Low Risk,1918.49,4
12645,Champions,0.0074512395,Low Risk,3539.3,8
12646,New Customers,0.02083442,Low Risk,1346.97,2
12647,Champions,0.0027248582,Low Risk,16955.55,36
12648,Hibernating,0.7447474,High Risk,1112.0,4
12649,Hibernating,0.7881181,High Risk,2294.65,8
12650,New Customers,0.010254045,Low Risk,314.44,1
12651,Hibernating,0.9620154,High Risk,377.75,4
12652,Hibernating,0.97469145,High Risk,1017.03,2
12653,Hibernating,0.8193828,High Risk,4160.83,3
12654,New Customers,0.02097688,Low Risk,601.98,5
12655,Hibernating,0.9794343,High Risk,261.35,1
12656,Champions,0.013172396,Low Risk,6407.83,8
12657,New Customers,0.006242138,Low Risk,1643.18,4
12658,New Customers,0.049457204,Low Risk,686.05,1
12659,New Customers,0.005567583,Low Risk,91.68,1
12660,New Customers,0.012005717,Low Risk,245.1,1
12661,Hibernating,0.8958089,High Risk,162.0,1
12662,Champions,0.057960823,Low Risk,6726.54,20
12663,Hibernating,0.964355,High Risk,239.4,2
12664,Champions,0.0032958493,Low Risk,6070.04,11
12665,Hibernating,0.9705493,High Risk,313.6,3
12666,Hibernating,0.96645945,High Risk,1248.42,1
12667,New Customers,0.025411757,Low Risk,620.13,1
12668,Champions,0.0028367226,Low Risk,11383.03,10
12669,Hibernating,0.81639117,High Risk,2744.03,3
12670,Champions,0.0018068324,Low Risk,3760.29,7
12671,Hibernating,0.8722959,High Risk,2622.481,1
12672,Hibernating,0.98304105,High Risk,437.05,2
12673,New Customers,0.00768267,Low Risk,1230.02,3
12674,New Customers,0.008448914,Low Risk,1970.6,4
12675,Hibernating,0.9676239,High Risk,957.25,2
12676,Champions,0.029587505,Low Risk,2843.09,11
12677,Hibernating,0.8741488,High Risk,395.1,2
12678,Champions,0.0030260088,Low Risk,34281.18,21
12679,Hibernating,0.64125085,High Risk,1113.02,4
12680,New Customers,0.0046187374,Low Risk,880.81,4
12681,Champions,0.0022483766,Low Risk,29834.76,45
12682,Champions,0.001978726,Low Risk,22950.22,52
12683,Champions,0.0015197349,Low Risk,11633.7,21
12684,Champions,0.0056553986,Low Risk,2283.63,7
12685,Champions,0.007507213,Low Risk,2863.08,6
12686,Hibernating,0.80601114,High Risk,89.14,1
12687,Hibernating,0.9377697,High Risk,2138.91,2
12688,Hibernating,0.95548826,High Risk,4873.81,1
12689,New Customers,0.02454458,Low Risk,1247.61,2
12690,Hibernating,0.9324595,High Risk,389.01,1
12691,New Customers,0.0034365111,Low Risk,1170.4,7
12692,Hibernating,0.9398195,High Risk,110.95,1
12693,Hibernating,0.6896712,High Risk,1703.02,7
12694,Hibernating,0.3000829,Medium Risk,1843.35,3
12695,New Customers,0.002339055,Low Risk,1407.12,7
12696,Hibernating,0.9741819,High Risk,851.91,2
12697,New Customers,0.007731191,Low Risk,957.59,3
12698,Hibernating,0.9205095,High Risk,339.75,1
12699,Hibernating,0.9445966,High Risk,638.11,1
12700,Champions,0.008837016,Low Risk,4939.99,4
12701,Hibernating,0.2940783,Low Risk,2446.41,6
12702,New Customers,0.036003128,Low Risk,219.0,1
12703,Hibernating,0.6136577,High Risk,1006.53,4
12704,Champions,0.03350698,Low Risk,2340.84,8
12705,Champions,0.036500018,Low Risk,11762.1,14
12707,Hibernating,0.9664887,High Risk,603.42,1
12708,Champions,0.0025691898,Low Risk,5117.66,18
12709,Champions,0.0030262852,Low Risk,30291.76,34
12710,Hibernating,0.9069078,High Risk,1149.02,3
12711,Hibernating,0.93338895,High Risk,1339.05,2
12712,Champions,0.0022513578,Low Risk,6723.03,21
12713,New Customers,0.009365888,Low Risk,848.55,1
12714,Champions,0.0012785534,Low Risk,14093.71,12
12715,Hibernating,0.91010076,High Risk,343.36,1
12716,New Customers,0.008572966,Low Risk,1053.49,2
12717,Hibernating,0.8290671,High Risk,1308.91,3
12718,Hibernating,0.48559067,Medium Risk,238.25,1
12719,New Customers,0.029824113,Low Risk,644.95,2
12720,Champions,0.05185147,Low Risk,7787.28,30
12721,Champions,0.009628636,Low Risk,4013.08,8
12722,Hibernating,0.41839424,Medium Risk,997.63,4
12723,New Customers,0.0024539663,Low Risk,725.07,5
12724,Champions,0.0115805995,Low Risk,2317.52,7
12725,Hibernating,0.63739395,High Risk,2266.76,4
12726,Champions,0.006257561,Low Risk,4014.6,11
12727,Champions,0.0032760873,Low Risk,5679.53,10
12728,Hibernating,0.47369298,Medium Risk,1070.17,5
12729,Hibernating,0.9525989,High Risk,453.01,1
12730,Hibernating,0.9823889,High Risk,829.25,1
12731,Champions,0.23419902,Low Risk,25775.71,17
12732,Hibernating,0.87413806,High Risk,236.26,1
12733,Hibernating,0.82235056,High Risk,2424.87,4
12734,Hibernating,0.9569418,High Risk,639.65,3
12735,Hibernating,0.9465812,High Risk,779.5699999999999,2
12736,Hibernating,0.93394905,High Risk,234.0,1
12737,Hibernating,0.92846674,High Risk,3710.5,2
12738,Hibernating,0.6958959,High Risk,155.35,1
12739,Hibernating,0.4259826,Medium Risk,2726.73,4
12740,New Customers,0.010449818,Low Risk,427.6,1
12741,Hibernating,0.9710914,High Risk,406.07,2
12742,Hibernating,0.943978,High Risk,1201.52,1
12743,Hibernating,0.97542566,High Risk,540.13,2
12744,Champions,0.039056722,Low Risk,25317.06,11
12745,Hibernating,0.9431451,High Risk,925.41,3
12746,Hibernating,0.9875252,High Risk,254.55,1
12747,Champions,0.0018918199,Low Risk,8898.48,26
12748,Champions,0.0062262327,Low Risk,53539.64,336
12749,Champions,0.011188529,Low Risk,6897.36,9
12750,Hibernating,0.96897,High Risk,275.88,1
12751,Hibernating,0.9823614,High Risk,268.27,1
12752,Hibernating,0.57154185,Medium Risk,4366.78,1
12753,Champions,0.011172867,Low Risk,21429.39,6
12754,Hibernating,0.9284972,High Risk,3010.74,3
12755,Hibernating,0.8846481,High Risk,5236.26,11
12756,Hibernating,0.86790013,High Risk,112.08,1
12757,Champions,0.22010326,Low Risk,7834.650000000001,13
12758,Hibernating,0.68014556,High Risk,9903.24,7
12759,Champions,0.0019867425,Low Risk,5020.74,8
12760,Hibernating,0.9705756,High Risk,347.8,1
12761,Hibernating,0.96352816,High Risk,782.95,2
12762,New Customers,0.0020637843,Low Risk,1898.52,2
12763,Hibernating,0.9782703,High Risk,494.08,2
12764,Hibernating,0.9744921,High Risk,1693.88,1
12765,Hibernating,0.86938626,High Risk,1404.58,6
12766,Champions,0.0177033,Low Risk,8918.99,9
12767,Hibernating,0.9440523,High Risk,949.82,1
12768,Hibernating,0.96227044,High Risk,168.69,1
12769,Hibernating,0.9294049,High Risk,1143.6,1
12770,Hibernating,0.9449205,High Risk,3246.45,2
12771,Hibernating,0.9653447,High Risk,282.3,1
12772,New Customers,0.01451749,Low Risk,892.47,1
12773,Hibernating,0.94332606,High Risk,124.25,1
12774,Hibernating,0.96294004,High Risk,98.7,1
12775,New Customers,0.005206851,Low Risk,1686.12,7
12776,Hibernating,0.9416322,High Risk,55.5,1
12777,Hibernating,0.9324561,High Risk,519.45,1
12778,Champions,0.0125740515,Low Risk,1775.68,9
12779,Champions,0.0036598588,Low Risk,6474.11,14
12780,Hibernating,0.92438287,High Risk,337.4,1
12781,New Customers,0.024221722,Low Risk,826.74,2
12782,Champions,0.069617435,Low Risk,4618.24,11
12783,Champions,0.032122064,Low Risk,2225.91,6
12784,New Customers,0.004128628,Low Risk,1763.15,3
12785,Hibernating,0.90204215,High Risk,1100.4,3
12786,Hibernating,0.9769493,High Risk,728.5000000000001,1
12787,New Customers,0.004703854,Low Risk,862.1800000000001,4
12788,Hibernating,0.9580465,High Risk,444.9,4
12789,New Customers,0.03183769,Low Risk,273.35,3
12790,Hibernating,0.97061497,High Risk,591.85,2
12791,Hibernating,0.9627904,High Risk,863.51,6
12792,Hibernating,0.983595,High Risk,827.01,2
12793,Hibernating,0.96927613,High Risk,885.53,3
12794,New Customers,0.0032955518,Low Risk,860.41,2
12795,New Customers,0.010373109,Low Risk,430.48,1
12796,Hibernating,0.9083062,High Risk,381.0,1
12797,Hibernating,0.98812544,High Risk,552.08,2
12798,Champions,0.039118815,Low Risk,8510.93,4
12799,Hibernating,0.91091084,High Risk,219.35,1
12800,Hibernating,0.9809263,High Risk,584.25,3
12801,Hibernating,0.98145413,High Risk,1071.82,1
12802,Hibernating,0.77840227,High Risk,2416.42,7
12803,Hibernating,0.9544485,High Risk,1092.81,1
12804,Hibernating,0.99247414,High Risk,325.37,2
12805,Hibernating,0.8996316,High Risk,1434.95,4
12806,Hibernating,0.96149606,High Risk,2878.96,4
12807,Hibernating,0.96456623,High Risk,330.35,1
12808,New Customers,0.0040264535,Low Risk,776.7,5
12809,Hibernating,0.88037014,High Risk,1755.94,3
12810,Hibernating,0.9881121,High Risk,534.99,2
12811,Hibernating,0.9632007,High Risk,1033.9,5
12812,New Customers,0.0066089905,Low Risk,229.64,1
12813,Hibernating,0.91190416,High Risk,1687.8,3
12814,Hibernating,0.9380415,High Risk,125.92,1
12815,Hibernating,0.9552021,High Risk,1063.46,2
12816,New Customers,0.5842616,Medium Risk,572.2,2
12817,Hibernating,0.9786041,High Risk,690.98,3
12818,Hibernating,0.96839607,High Risk,1542.08,1
12819,Hibernating,0.9720311,High Risk,540.52,1
12820,Champions,0.0011031438,Low Risk,2689.52,11
12821,Hibernating,0.8895141,High Risk,220.8,2
12822,New Customers,0.0060551083,Low Risk,948.88,2
12823,Champions,0.10884959,Low Risk,6501.5,18
12824,New Customers,0.0033247625,Low Risk,397.12,1
12825,Hibernating,0.98931015,High Risk,518.63,2
12826,Champions,0.00089041126,Low Risk,2800.75,12
12827,New Customers,0.0021671392,Low Risk,430.15,3
12828,New Customers,0.0030769987,Low Risk,1018.71,6
12829,Hibernating,0.96174246,High Risk,385.3,3
12830,Champions,0.03959566,Low Risk,6814.64,6
12831,Hibernating,0.95384425,High Risk,451.11,3
12832,New Customers,0.005686096,Low Risk,383.03,2
12833,Hibernating,0.9192429,High Risk,417.38,1
12834,Hibernating,0.9884865,High Risk,312.38,1
12835,Champions,0.79543847,High Risk,5996.83,41
12836,Champions,0.003949618,Low Risk,6559.7300000000005,15
12837,Hibernating,0.9868238,High Risk,662.66,2
12838,Champions,0.010690777,Low Risk,2975.91,10
12839,Champions,0.0013814002,Low Risk,9669.12,26
12840,Hibernating,0.5650192,Medium Risk,4041.97,7
12841,Champions,0.087118916,Low Risk,6958.2,40
12842,Hibernating,0.013728401,Low Risk,1917.99,4
12843,Champions,0.0025832166,Low Risk,6583.36,30
12844,New Customers,0.00432794,Low Risk,648.6,4
12845,Hibernating,0.97120595,High Risk,354.09000000000003,4
12846,Hibernating,0.97035325,High Risk,15.58,1
12847,New Customers,0.0039620916,Low Risk,1609.0,2
12848,Hibernating,0.9656216,High Risk,208.0,1
12849,Champions,0.028268063,Low Risk,3042.4700000000003,6
12850,Hibernating,0.9069739,High Risk,330.0,1
12851,Hibernating,0.96334004,High Risk,280.76,2
12852,Hibernating,0.97256875,High Risk,311.55,1
12853,Hibernating,0.8672622,High Risk,3907.5,11
12854,Hibernating,0.010833645,Low Risk,2970.9700000000003,7
12855,Hibernating,0.97938913,High Risk,612.84,4
12856,New Customers,0.002512852,Low Risk,2170.78,6
12857,Hibernating,0.89372706,High Risk,3688.0,6
12858,Hibernating,0.9792348,High Risk,147.27,1
12859,Hibernating,0.959255,High Risk,575.1,1
12860,Hibernating,0.8685468,High Risk,54.22,1
12861,Hibernating,0.96144307,High Risk,68.25,1
12862,Hibernating,0.97216797,High Risk,984.62,2
12863,Hibernating,0.3354166,Medium Risk,2792.55,6
12864,Hibernating,0.94808066,High Risk,299.57,2
12865,New Customers,0.0024770317,Low Risk,3323.4700000000003,4
12866,Hibernating,0.8486887,High Risk,1227.35,3
12867,Champions,0.003049603,Low Risk,7829.26,13
